id,anoFabricacao,cidade,quantidade,siglaEstado,marca,modelo
346,2006.0,AQUIDAUANA,16,MS,FIAT,
347,1993.0,CAMBE,22,PR,,CG 125 TODAY
348,1977.0,CARMO DO CAJURU,11,MG,VW,BRASILIA
349,,,10,RJ,,
350,2003.0,,35,,GM,CORSA CLASSIC
351,2018.0,,128,SE,FIAT,
352,1984.0,GOVERNADOR VALADARES,10,MG,FORD,
353,2005.0,MIMOSO DO SUL,20,ES,HONDA,CG 150 TITAN KS
354,2016.0,,127,DF,,VERSA 16SV CVT
355,,DIVINO DE SAO LOURENCO,10,ES,HONDA,CG 125 TITAN
356,2010.0,,12,CE,HONDA,NXR150 BROS MIX ES
357,2005.0,AFOGADOS DA INGAZEIRA,31,PE,HONDA,CG 125 FAN
358,2007.0,CAMPOS DOS GOYTACAZES,125,,,
359,2013.0,UNAI,16,MG,HONDA,
360,2001.0,,24,MG,YAMAHA,
361,2008.0,,15,GO,FORD,FIESTA 1.6 FLEX
362,,,23,PE,,CELTA 1.0L LS
363,2007.0,,32,CE,HONDA,
364,,CONSELHEIRO LAFAIETE,15,MG,VW,
365,2008.0,RIACHO DE SANTANA,13,BA,JTA,SUZUKI EN125 YES
366,2012.0,MOSSORO,29,,,
367,2020.0,,11,MS,,
368,2016.0,SERRA,28,,,
369,2002.0,,123,MS,SR,RANDON SR CA
370,2021.0,,20,RO,,
371,1981.0,,122,AM,,
372,2017.0,,11,PE,,
373,2007.0,,16,PR,,NXR150 BROS ES
374,1998.0,,121,CE,HONDA,CG 125 TITAN
375,2017.0,,12,MG,CHEVROLET,ONIX 1.0MT LT
376,2008.0,,121,ES,HONDA,CG 150 TITAN ES
377,1986.0,NOVA FRIBURGO,10,RJ,,147
378,,,10,,,
379,1987.0,BETIM,14,MG,GM,
380,1991.0,TANGUA,15,,,GOL CL
381,,NOVA IGUACU,119,RJ,,
382,2020.0,MANAUS,119,AM,CHEVROLET,
383,1988.0,NATAL,14,RN,,CB 450 DX
384,2011.0,URUACU,19,GO,VW,GOLF 1.6 SPORTLINE
385,1998.0,,15,ES,,BLAZER DLX
386,2008.0,CAPELA DO ALTO ALEGRE,47,,HONDA,CG 125 FAN
387,,,13,CE,,BIZ 125 KS
388,1995.0,PAICANDU,13,PR,,VW GOLF GL
389,,,30,,VW,FUSCA 1500
390,2018.0,RIO BRANCO,118,,,
391,2002.0,,37,RJ,VW,KOMBI
392,1993.0,CASTELO DO PIAUI,10,PI,GM,D20 CUSTOM S
393,1988.0,BAIXO GUANDU,10,,,XL 125 S
394,2008.0,PAU DOS FERROS,27,RN,,CELTA 4P LIFE
395,2005.0,SAO DOMINGOS DO MARANHAO,26,MA,,CG 125 FAN
396,2004.0,ARACATI,20,CE,,GOL 1.0
397,2005.0,ALMIRANTE TAMANDARE,10,,GM,ASTRA HB 2P ADVANTAGE
398,2010.0,LONDRINA,21,PR,HONDA,
399,1983.0,CANDEIAS,11,BA,,
400,2006.0,ITAPIPOCA,24,CE,VW,
401,1983.0,,115,RJ,VW,VOYAGE
402,2009.0,,19,GO,HONDA,CG150 TITAN MIX EX
403,,JUIZ DE FORA,15,MG,DODGE,
404,2004.0,NOVO PROGRESSO,37,PA,,
405,,NEPOMUCENO,36,MG,,
406,,CARIACICA,16,ES,,HB20 1.6M COMF
407,2011.0,CURVELO,13,MG,VW,FOX 1.6 GII
408,2011.0,NATAL,113,RN,HONDA,
409,,MACEIO,113,AL,,CLASSIC
410,2002.0,,12,RO,,
411,,AFONSO CLAUDIO,13,ES,HONDA,C100 BIZ ES
412,2003.0,RIO LARGO,43,,HONDA,CG 125 TITAN KS
413,2007.0,JUIZ DE FORA,20,MG,GM,
414,1993.0,,11,RJ,,
415,,SAO JOSE DE MIPIBU,10,RN,VW,NOVO GOL 1.0
416,2004.0,,36,,,
417,1994.0,DOMINGOS MARTINS,10,ES,,KOMBI
418,1992.0,,112,PR,,
419,2014.0,PONTA GROSSA,37,PR,CHEVROLET,
420,1996.0,CAFELANDIA,17,,GM,VECTRA GLS
421,,,22,ES,VOLVO,FH 440 6X2T
422,1996.0,POCOS DE CALDAS,14,MG,,FIORINO IE
423,2010.0,SANTA MARIANA,12,PR,,CLASSIC LS
424,2000.0,,13,GO,HONDA,CG 125 TITAN KS
425,1983.0,BETIM,24,MG,VW,PARATI
426,,,29,MA,HONDA,
427,2018.0,ANGRA DOS REIS,13,RJ,YAMAHA,NMAX
428,2014.0,,15,RJ,CHEVROLET,CRUZE LT NB
429,2001.0,,27,GO,M.BENZ,A 160
430,2017.0,RIO VERDE,110,GO,HONDA,CG 160 FAN ESDI
431,,,25,CE,FORD,
432,1988.0,,11,MG,YAMAHA,DT 180 Z
433,1998.0,,110,RO,HONDA,CG 125 TITAN
434,,SAO GONCALO,25,RJ,VW,
435,1983.0,PARAGUACU,17,MG,,
436,2006.0,,34,PR,,CORSA HATCH MAXX
437,2009.0,BONITO,13,PE,GM,
438,2011.0,,37,,,207PASSION XR
439,2004.0,,21,PR,GM,VECTRA EXPRESSION
440,,TEIXEIRA DE FREITAS,10,,CHEVROLET,ONIX 1.4AT LTZ
441,1992.0,CONTAGEM,36,,VW,
442,2000.0,CAMPOS SALES,108,CE,HONDA,CG 125 TITAN KS
443,2012.0,LAGARTO,108,,HONDA,
444,2014.0,CACHOEIRO DE ITAPEMIRIM,18,ES,VW,
445,,AGUA BRANCA,107,PI,,
446,,CODO,107,MA,HONDA,BIZ 100 ES
447,1996.0,NOVO GAMA,17,GO,GM,CORSA GL
448,2004.0,MONTE ALEGRE,14,,FIAT,PALIO FIRE
449,,PENTECOSTE,25,CE,,BIZ 125 KS
450,2006.0,,37,RN,,NXR150 BROS ESD
451,,CORUMBA,32,,FORD,KA FLEX
452,2021.0,WENCESLAU BRAZ,32,,SR,
453,2012.0,SANTO ANTONIO DO MONTE,12,MG,FIAT,SIENA EL 1.4 FLEX
454,,,104,MG,FIAT,PALIO FIRE ECONOMY
455,2007.0,CASTELO,10,,,
456,1982.0,,104,MS,HONDA,
457,2000.0,PETROLINA,104,,HONDA,
458,,,35,GO,VOLVO,
459,2014.0,,11,BA,VW,
460,2015.0,,34,TO,CHEVROLET,
461,,,12,PE,,CG 125
462,2021.0,,10,GO,JEEP,RENEGADE 1.8 AUTOM.
463,2013.0,SAO LUIS,40,MA,,HB20S 1.6A PREM
464,2020.0,BRASILIA,45,DF,FIAT,FIORINO 1.4 FLEX
465,2009.0,,20,,FIAT,
466,2013.0,FEIRA DE SANTANA,14,BA,CHEVROLET,ONIX 1.4AT LTZ
467,1996.0,FORTALEZA,28,CE,,TEMPRA 16V
468,2010.0,TANGARA DA SERRA,18,MT,,CG150 FAN ESDI
469,1996.0,APARECIDA DE GOIANIA,102,GO,FIAT,PALIO ED
470,2019.0,,17,PR,,VIRTUS HL AD
471,2021.0,XINGUARA,33,PA,,
472,,ABAETE,10,MG,,UNO CS
473,,,11,,HONDA,BIZ 125 ES
474,1978.0,RIO DE JANEIRO,100,RJ,FORD,
475,2002.0,,18,MS,YAMAHA,YBR 125ED
476,2012.0,BARRA DE GUABIRABA,17,PE,HONDA,POP100
477,2006.0,IPANEMA,28,MG,VW,
478,,,11,PR,,SANTANA
479,1995.0,PRESIDENTE KENNEDY,14,,,GOL 1000I
480,2003.0,MARAVILHA,10,AL,HONDA,CG 125 TITAN KSE
481,2008.0,VITORIA,10,ES,GM,MERIVA PREMIUM
482,2008.0,MANAUS,11,,FIAT,
483,2016.0,MAUES,14,AM,,CG 160 TITAN EX
484,1981.0,,11,GO,FORD,CORCEL II L
485,,ARAPIRACA,14,AL,YAMAHA,
486,2005.0,ARCOS,11,MG,VW,FOX 1.0
487,2001.0,,26,MG,VW,
488,2013.0,GOIANIA,97,,,
489,,,97,RJ,,CG 160 START
490,2009.0,PARAUAPEBAS,18,PA,HONDA,
491,1998.0,,10,ES,FIAT,PALIO ELX
492,1982.0,,97,RJ,,
493,1995.0,MARABA,35,,GM,CORSA WIND
494,2014.0,RIBEIRA DO POMBAL,21,,HONDA,
495,,CANAPOLIS,10,MG,,
